Ano,Mes,Dia,CANTIDAD MEDUSAS,PRECIPITACION,TEMP MAR,DIRECCION VIENTO,GRADOS VIENTO,HUMEDAD,OLAS,TEMP AIRE,VEL. VIENTO
2021,enero,2,0,1,13,NW,304,86,1,5,15
2021,enero,3,0,4,13,WNW,282,91,1,5,18
2021,enero,4,0,0,13,WNW,288,95,0.8,5,17
2021,enero,5,0,3,13,W,281,91,0.3,5,29
2021,enero,6,0,0,13,NW,310,91,0.1,4,6
2021,enero,7,0,0,13,E,97,76,0.3,5,12
2021,enero,8,0,0,13,E,79,79,0.6,3,15
2021,enero,9,0,2,13,N,4,80,0.8,5,22
2021,enero,10,0,1,13,NNE,25,80,0.8,3,15
2021,enero,11,0,3,13,NNW,346,89,0.6,4,10
2021,enero,12,0,0,13,WNW,286,87,1,6,23
2021,enero,13,0,0,13,W,281,79,0.7,8,23
2021,enero,14,0,0,13,WNW,285,71,0.8,8,22
2021,enero,15,0,3,13,W,277,93,1,8,16
2021,enero,16,0,0,13,WNW,291,48,0.6,9,3
2021,enero,17,0,2,13,WNW,284,100,0.5,8,1
2021,enero,18,0,0,13,ESE,107,57,0.1,10,11
2021,enero,19,0,0,13,SSW,206,60,0.3,11,20
2021,enero,20,0,0,13,SW,221,63,0.5,12,32
2021,enero,21,0,0,13,WNW,295,81,0.5,11,7
2021,enero,22,0,12,13,NW,304,93,2,9,22
2021,enero,23,0,5,13,WSW,237,78,1,11,9
2021,enero,24,0,0,12,WNW,284,85,1.5,10,26
2021,enero,25,0,0,12,WNW,287,72,0.3,10,10
2021,enero,26,0,10,12,WNW,282,98,0.2,13,37
2021,enero,27,0,0,12,NNW,333,79,0.5,14,1
2021,enero,28,0,0,12,WNW,296,71,0.3,14,11
2021,enero,29,0,0,12,SW,226,55,0.5,16,17
2021,enero,30,0,3,12,WNW,283,92,3,11,40
2021,enero,31,0,7,12,WNW,291,97,3,12,44
2021,febrero,1,0,7,12,W,277,90,2,13,17
2021,febrero,2,0,0,12,SW,231,57,0.7,15,23
2021,febrero,3,0,2,12,W,272,74,0.3,11,9
2021,febrero,4,0,0,12,S,183,70,0.2,12,16
2021,febrero,5,0,0,12,ENE,62,74,0.2,13,9
2021,febrero,6,0,42,12,N,349,100,2.5,10,21
2021,febrero,7,0,0,12,WNW,290,70,1,9,20
2021,febrero,8,0,10,12,W,276,93,1,10,33
2021,febrero,9,0,0,12,S,182,65,0.5,12,17
2021,febrero,10,0,0,12,WNW,290,71,1.5,11,16
2021,febrero,11,0,0,12,NW,315,82,0.2,13,3
2021,febrero,12,0,0,12,WNW,301,79,1.5,11,15
2021,febrero,13,0,0,12,SSW,199,56,0.3,13,15
2021,febrero,14,0,0,12,W,273,57,0.5,14,13
